model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
Qwen/Qwen2.5-7B,20,standard,Neutral,Idiomaticity Ablation,0.6210590034081189,0.3741657386773942
Qwen/Qwen2.5-7B,20,standard,Neutral,Random Ablation,0.6831649037489308,0.27851647809677005
Qwen/Qwen2.5-7B,20,context,Figurative,No Ablation,0.6969662149357778,0.3760065855552964
Qwen/Qwen2.5-7B,20,context,Figurative,Idiomaticity Ablation,0.6728139203587955,0.37153157912311346
Qwen/Qwen2.5-7B,20,context,Figurative,Random Ablation,0.7142178539193367,0.3594142059359528
Qwen/Qwen2.5-7B,20,no_context,Literal,No Ablation,0.41424082525884565,0.5279589691847768
Qwen/Qwen2.5-7B,20,no_context,Literal,Idiomaticity Ablation,0.38318787508843966,0.4956269201545101
Qwen/Qwen2.5-7B,20,no_context,Literal,Random Ablation,0.47979705339636936,0.521798600179035
Qwen/Qwen2.5-7B,21,standard,Neutral,No Ablation,0.710767526122625,0.2655631930893465
Qwen/Qwen2.5-7B,21,standard,Neutral,Idiomaticity Ablation,0.6383106423916779,0.3708901775586998
Qwen/Qwen2.5-7B,21,standard,Neutral,Random Ablation,0.7142178539193368,0.24618518001119177
Qwen/Qwen2.5-7B,21,context,Figurative,No Ablation,0.7211185095127602,0.32621567507810945
Qwen/Qwen2.5-7B,21,context,Figurative,Idiomaticity Ablation,0.6969662149357778,0.31160108808416914
Qwen/Qwen2.5-7B,21,context,Figurative,Random Ablation,0.7176681817160485,0.3195234546871922
Qwen/Qwen2.5-7B,21,no_context,Literal,No Ablation,0.43149246424240445,0.5310438123290224
Qwen/Qwen2.5-7B,21,no_context,Literal,Idiomaticity Ablation,0.36938656390159263,0.5493148857621639
Qwen/Qwen2.5-7B,21,no_context,Literal,Random Ablation,0.4659957422095223,0.5408047863897772
Qwen/Qwen2.5-7B,22,standard,Neutral,No Ablation,0.6866152315456426,0.28408164487059173
Qwen/Qwen2.5-7B,22,standard,Neutral,Idiomaticity Ablation,0.6072576922212718,0.37959878568725447
Qwen/Qwen2.5-7B,22,standard,Neutral,Random Ablation,0.6969662149357779,0.2951190236078286
Qwen/Qwen2.5-7B,22,context,Figurative,No Ablation,0.7245688373094722,0.32623392133340684
Qwen/Qwen2.5-7B,22,context,Figurative,Idiomaticity Ablation,0.6831649037489309,0.30307943324670333
Qwen/Qwen2.5-7B,22,context,Figurative,Random Ablation,0.6866152315456426,0.3826443082899139
Qwen/Qwen2.5-7B,22,no_context,Literal,No Ablation,0.39353885847857495,0.575480309859032
Qwen/Qwen2.5-7B,22,no_context,Literal,Idiomaticity Ablation,0.36248590830816896,0.5704109677770536
Qwen/Qwen2.5-7B,22,no_context,Literal,Random Ablation,0.4211414808522692,0.5465256382582844
Qwen/Qwen2.5-7B,23,standard,Neutral,No Ablation,0.6935158871390662,0.27985965870669643
Qwen/Qwen2.5-7B,23,standard,Neutral,Idiomaticity Ablation,0.6003570366278483,0.3811636319033
Qwen/Qwen2.5-7B,23,standard,Neutral,Random Ablation,0.6935158871390661,0.284918534722772
Qwen/Qwen2.5-7B,23,context,Figurative,No Ablation,0.7004165427324897,0.3318598384573711
Qwen/Qwen2.5-7B,23,context,Figurative,Idiomaticity Ablation,0.6590126091719484,0.35353655431665804
Qwen/Qwen2.5-7B,23,context,Figurative,Random Ablation,0.6900655593423544,0.36384193323605846
Qwen/Qwen2.5-7B,23,no_context,Literal,No Ablation,0.3831878750884397,0.5842604981479844
Qwen/Qwen2.5-7B,23,no_context,Literal,Idiomaticity Ablation,0.34868459712132194,0.56013854195558
Qwen/Qwen2.5-7B,23,no_context,Literal,Random Ablation,0.40388984186871024,0.558756771850731
Qwen/Qwen2.5-7B,24,standard,Neutral,No Ablation,0.6969662149357779,0.27766029261534336
Qwen/Qwen2.5-7B,24,standard,Neutral,Idiomaticity Ablation,0.6141583478146954,0.34839769284677025
Qwen/Qwen2.5-7B,24,standard,Neutral,Random Ablation,0.7142178539193367,0.24031229681395838
Qwen/Qwen2.5-7B,24,context,Figurative,No Ablation,0.7211185095127602,0.25492762745158726
Qwen/Qwen2.5-7B,24,context,Figurative,Idiomaticity Ablation,0.6728139203587955,0.3131065542043384
Qwen/Qwen2.5-7B,24,context,Figurative,Random Ablation,0.7073171983259132,0.29103673471295854
Qwen/Qwen2.5-7B,24,no_context,Literal,No Ablation,0.4280421364456927,0.529124944354291
Qwen/Qwen2.5-7B,24,no_context,Literal,Idiomaticity Ablation,0.3521349249180337,0.5482908383262177
Qwen/Qwen2.5-7B,24,no_context,Literal,Random Ablation,0.4487441032259633,0.5254595335671101
Qwen/Qwen2.5-7B,25,standard,Neutral,No Ablation,0.6900655593423544,0.26367367999823105
Qwen/Qwen2.5-7B,25,standard,Neutral,Idiomaticity Ablation,0.6003570366278482,0.3811636319033
Qwen/Qwen2.5-7B,25,standard,Neutral,Random Ablation,0.6831649037489308,0.29105718632991306
Qwen/Qwen2.5-7B,25,context,Figurative,No Ablation,0.7004165427324897,0.2779816712011955
Qwen/Qwen2.5-7B,25,context,Figurative,Idiomaticity Ablation,0.6797145759522191,0.31868405013355133
Qwen/Qwen2.5-7B,25,context,Figurative,Random Ablation,0.7038668705292015,0.2932575659723036
Qwen/Qwen2.5-7B,25,no_context,Literal,No Ablation,0.4418434476325398,0.5064968644192619
Qwen/Qwen2.5-7B,25,no_context,Literal,Idiomaticity Ablation,0.33833361373118664,0.5399822089547613
Qwen/Qwen2.5-7B,25,no_context,Literal,Random Ablation,0.44874410322596336,0.5240984163189137
Qwen/Qwen2.5-7B,26,standard,Neutral,No Ablation,0.6935158871390661,0.24443813123160638
Qwen/Qwen2.5-7B,26,standard,Neutral,Idiomaticity Ablation,0.6141583478146954,0.3400980250849257
Qwen/Qwen2.5-7B,26,standard,Neutral,Random Ablation,0.7038668705292015,0.2426049110326147
Qwen/Qwen2.5-7B,26,context,Figurative,No Ablation,0.6935158871390662,0.29718921341702254
Qwen/Qwen2.5-7B,26,context,Figurative,Idiomaticity Ablation,0.6693635925620838,0.29608557321603274
Qwen/Qwen2.5-7B,26,context,Figurative,Random Ablation,0.7004165427324897,0.3164347521700997
Qwen/Qwen2.5-7B,26,no_context,Literal,No Ablation,0.47289639780294573,0.47838058963720187
Qwen/Qwen2.5-7B,26,no_context,Literal,Idiomaticity Ablation,0.33833361373118664,0.5373301062945577
Qwen/Qwen2.5-7B,26,no_context,Literal,Random Ablation,0.46599574220952217,0.5233530246503443
Qwen/Qwen2.5-7B,27,standard,Neutral,No Ablation,0.7004165427324897,0.2675061192001481
Qwen/Qwen2.5-7B,27,standard,Neutral,Idiomaticity Ablation,0.5727544142541541,0.41121191385371864
Qwen/Qwen2.5-7B,27,standard,Neutral,Random Ablation,0.6866152315456425,0.2790075950493788
Qwen/Qwen2.5-7B,27,context,Figurative,No Ablation,0.7107675261226251,0.2628597308361213
Qwen/Qwen2.5-7B,27,context,Figurative,Idiomaticity Ablation,0.6348603145949661,0.3204163957519445
Qwen/Qwen2.5-7B,27,context,Figurative,Random Ablation,0.6935158871390661,0.33128537546954895
Qwen/Qwen2.5-7B,27,no_context,Literal,No Ablation,0.4349427920391163,0.4983008722146258
Qwen/Qwen2.5-7B,27,no_context,Literal,Idiomaticity Ablation,0.28642757954043535,0.5279152733121621
Qwen/Qwen2.5-7B,27,no_context,Literal,Random Ablation,0.43494279203911623,0.5539631646791017
Qwen/Qwen2.5-7B,28,standard,Neutral,No Ablation,0.11386081729148848,0.6396706741977247
Qwen/Qwen2.5-7B,28,standard,Neutral,Idiomaticity Ablation,0.0862581949177943,0.6372840437206572
Qwen/Qwen2.5-7B,28,standard,Neutral,Random Ablation,0.1345627840717591,0.6367607758917676
Qwen/Qwen2.5-7B,28,context,Figurative,No Ablation,0.11386081729148848,0.6786804423711819
Qwen/Qwen2.5-7B,28,context,Figurative,Idiomaticity Ablation,0.1483640952586062,0.6415290514150735
Qwen/Qwen2.5-7B,28,context,Figurative,Random Ablation,0.15526475085202973,0.6639976333864883
Qwen/Qwen2.5-7B,28,no_context,Literal,No Ablation,0.1343612944183261,0.6709249733563034
Qwen/Qwen2.5-7B,28,no_context,Literal,Idiomaticity Ablation,0.14126195001174965,0.6684383048279257
Qwen/Qwen2.5-7B,28,no_context,Literal,Random Ablation,0.15161293340188495,0.658075936798591
