model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
Qwen/Qwen2.5-7B,20,standard,Neutral,Idiomaticity Ablation,0.5209994973034776,0.4267680311140379
Qwen/Qwen2.5-7B,20,standard,Neutral,Random Ablation,0.7004165427324895,0.30021817463463535
Qwen/Qwen2.5-7B,20,context,Figurative,No Ablation,0.6969662149357778,0.3760065855552964
Qwen/Qwen2.5-7B,20,context,Figurative,Idiomaticity Ablation,0.5865557254410013,0.4002975084085527
Qwen/Qwen2.5-7B,20,context,Figurative,Random Ablation,0.6935158871390662,0.33980036155702625
Qwen/Qwen2.5-7B,20,no_context,Literal,No Ablation,0.41424082525884565,0.5279589691847768
Qwen/Qwen2.5-7B,20,no_context,Literal,Idiomaticity Ablation,0.29692968017064536,0.5496989171242198
Qwen/Qwen2.5-7B,20,no_context,Literal,Random Ablation,0.39353885847857495,0.5578329382847946
Qwen/Qwen2.5-7B,21,standard,Neutral,No Ablation,0.710767526122625,0.2655631930893465
Qwen/Qwen2.5-7B,21,standard,Neutral,Idiomaticity Ablation,0.5486021196771718,0.4085252221624232
Qwen/Qwen2.5-7B,21,standard,Neutral,Random Ablation,0.7073171983259132,0.2626558494267647
Qwen/Qwen2.5-7B,21,context,Figurative,No Ablation,0.7211185095127602,0.32621567507810945
Qwen/Qwen2.5-7B,21,context,Figurative,Idiomaticity Ablation,0.6210590034081189,0.3741657386773942
Qwen/Qwen2.5-7B,21,context,Figurative,Random Ablation,0.7038668705292015,0.3211586167968363
Qwen/Qwen2.5-7B,21,no_context,Literal,No Ablation,0.43149246424240445,0.5310438123290224
Qwen/Qwen2.5-7B,21,no_context,Literal,Idiomaticity Ablation,0.2658767300002394,0.567264097260719
Qwen/Qwen2.5-7B,21,no_context,Literal,Random Ablation,0.393538858478575,0.575480309859032
Qwen/Qwen2.5-7B,22,standard,Neutral,No Ablation,0.6866152315456426,0.28408164487059173
Qwen/Qwen2.5-7B,22,standard,Neutral,Idiomaticity Ablation,0.4795955637429363,0.4803148768801369
Qwen/Qwen2.5-7B,22,standard,Neutral,Random Ablation,0.6935158871390662,0.2923427538255151
Qwen/Qwen2.5-7B,22,context,Figurative,No Ablation,0.7245688373094722,0.32623392133340684
Qwen/Qwen2.5-7B,22,context,Figurative,Idiomaticity Ablation,0.5969067088311364,0.39113692645682957
Qwen/Qwen2.5-7B,22,context,Figurative,Random Ablation,0.6693635925620837,0.40772306194044905
Qwen/Qwen2.5-7B,22,no_context,Literal,No Ablation,0.39353885847857495,0.575480309859032
Qwen/Qwen2.5-7B,22,no_context,Literal,Idiomaticity Ablation,0.22102246864298639,0.6012363951132215
Qwen/Qwen2.5-7B,22,no_context,Literal,Random Ablation,0.3590355805114573,0.559337248723124
Qwen/Qwen2.5-7B,23,standard,Neutral,No Ablation,0.6935158871390662,0.27985965870669643
Qwen/Qwen2.5-7B,23,standard,Neutral,Idiomaticity Ablation,0.45544326916595396,0.4881451774684601
Qwen/Qwen2.5-7B,23,standard,Neutral,Random Ablation,0.6762642481555072,0.3313752009573497
Qwen/Qwen2.5-7B,23,context,Figurative,No Ablation,0.7004165427324897,0.3318598384573711
Qwen/Qwen2.5-7B,23,context,Figurative,Idiomaticity Ablation,0.5658537586607306,0.422351692764398
Qwen/Qwen2.5-7B,23,context,Figurative,Random Ablation,0.6521119535785248,0.38512521154999524
Qwen/Qwen2.5-7B,23,no_context,Literal,No Ablation,0.3831878750884397,0.5842604981479844
Qwen/Qwen2.5-7B,23,no_context,Literal,Idiomaticity Ablation,0.22792312423640998,0.6081247859779004
Qwen/Qwen2.5-7B,23,no_context,Literal,Random Ablation,0.2934793523739336,0.6005285801796028
Qwen/Qwen2.5-7B,24,standard,Neutral,No Ablation,0.6969662149357779,0.27766029261534336
Qwen/Qwen2.5-7B,24,standard,Neutral,Idiomaticity Ablation,0.4933968749297834,0.4376751350140009
Qwen/Qwen2.5-7B,24,standard,Neutral,Random Ablation,0.6659132647653719,0.3253386514007183
Qwen/Qwen2.5-7B,24,context,Figurative,No Ablation,0.7211185095127602,0.25492762745158726
Qwen/Qwen2.5-7B,24,context,Figurative,Idiomaticity Ablation,0.6107080200179836,0.3711468711979128
Qwen/Qwen2.5-7B,24,context,Figurative,Random Ablation,0.6866152315456425,0.3173363845391527
Qwen/Qwen2.5-7B,24,no_context,Literal,No Ablation,0.4280421364456927,0.529124944354291
Qwen/Qwen2.5-7B,24,no_context,Literal,Idiomaticity Ablation,0.2210224686429864,0.6164873327004946
Qwen/Qwen2.5-7B,24,no_context,Literal,Random Ablation,0.3279826303410513,0.5700056015437077
Qwen/Qwen2.5-7B,25,standard,Neutral,No Ablation,0.6900655593423544,0.26367367999823105
Qwen/Qwen2.5-7B,25,standard,Neutral,Idiomaticity Ablation,0.5002975305232069,0.4460808169357827
Qwen/Qwen2.5-7B,25,standard,Neutral,Random Ablation,0.6521119535785248,0.35015302777092033
Qwen/Qwen2.5-7B,25,context,Figurative,No Ablation,0.7004165427324897,0.2779816712011955
Qwen/Qwen2.5-7B,25,context,Figurative,Idiomaticity Ablation,0.6141583478146955,0.3663851733327856
Qwen/Qwen2.5-7B,25,context,Figurative,Random Ablation,0.6866152315456426,0.31280223479898306
Qwen/Qwen2.5-7B,25,no_context,Literal,No Ablation,0.4418434476325398,0.5064968644192619
Qwen/Qwen2.5-7B,25,no_context,Literal,Idiomaticity Ablation,0.20032050186271577,0.6189224295858038
Qwen/Qwen2.5-7B,25,no_context,Literal,Random Ablation,0.31763164695091606,0.5626625351415246
Qwen/Qwen2.5-7B,26,standard,Neutral,No Ablation,0.6935158871390661,0.24443813123160638
Qwen/Qwen2.5-7B,26,standard,Neutral,Idiomaticity Ablation,0.5002975305232069,0.4524404722749514
Qwen/Qwen2.5-7B,26,standard,Neutral,Random Ablation,0.6521119535785248,0.32475265312894025
Qwen/Qwen2.5-7B,26,context,Figurative,No Ablation,0.6935158871390662,0.29718921341702254
Qwen/Qwen2.5-7B,26,context,Figurative,Idiomaticity Ablation,0.6314099867982544,0.35941420593595275
Qwen/Qwen2.5-7B,26,context,Figurative,Random Ablation,0.6900655593423544,0.3265986323710905
Qwen/Qwen2.5-7B,26,no_context,Literal,No Ablation,0.47289639780294573,0.47838058963720187
Qwen/Qwen2.5-7B,26,no_context,Literal,Idiomaticity Ablation,0.196870174066004,0.604276176585203
Qwen/Qwen2.5-7B,26,no_context,Literal,Random Ablation,0.37283689169830436,0.5805541080354304
Qwen/Qwen2.5-7B,27,standard,Neutral,No Ablation,0.7004165427324897,0.2675061192001481
Qwen/Qwen2.5-7B,27,standard,Neutral,Idiomaticity Ablation,0.49339687492978335,0.4327514408107841
Qwen/Qwen2.5-7B,27,standard,Neutral,Random Ablation,0.6728139203587955,0.30148442272007553
Qwen/Qwen2.5-7B,27,context,Figurative,No Ablation,0.7107675261226251,0.2628597308361213
Qwen/Qwen2.5-7B,27,context,Figurative,Idiomaticity Ablation,0.6245093312048307,0.3712751514648377
Qwen/Qwen2.5-7B,27,context,Figurative,Random Ablation,0.6693635925620837,0.3691044503092523
Qwen/Qwen2.5-7B,27,no_context,Literal,No Ablation,0.4349427920391163,0.4983008722146258
Qwen/Qwen2.5-7B,27,no_context,Literal,Idiomaticity Ablation,0.24172443542325703,0.5932161762570954
Qwen/Qwen2.5-7B,27,no_context,Literal,Random Ablation,0.37628721949501615,0.5677283606355418
Qwen/Qwen2.5-7B,28,standard,Neutral,No Ablation,0.11386081729148848,0.6396706741977247
Qwen/Qwen2.5-7B,28,standard,Neutral,Idiomaticity Ablation,0.06900655593423544,0.6377042156569664
Qwen/Qwen2.5-7B,28,standard,Neutral,Random Ablation,0.11386081729148848,0.6284050104374227
Qwen/Qwen2.5-7B,28,context,Figurative,No Ablation,0.11386081729148848,0.6786804423711819
Qwen/Qwen2.5-7B,28,context,Figurative,Idiomaticity Ablation,0.0862581949177943,0.6732561247577401
Qwen/Qwen2.5-7B,28,context,Figurative,Random Ablation,0.18631770102243567,0.6683668795760948
Qwen/Qwen2.5-7B,28,no_context,Literal,No Ablation,0.1343612944183261,0.6709249733563034
Qwen/Qwen2.5-7B,28,no_context,Literal,Idiomaticity Ablation,0.11020899984134368,0.675841356665291
Qwen/Qwen2.5-7B,28,no_context,Literal,Random Ablation,0.14126195001174965,0.6737600644918695
